"Found %d rows","%d lignes trouvées"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Lien</a>"
"Access denied to destination folder ""%s""","Accès refusé au répertoire ""%s"""
"Loaded successfully: ""%s""","Chargement réussi pour: ""%s"""
"Starting %s :: %s","Début %s :: %s"
"ETA: %s","Durée estimée : %s"
"Processed records: %s","Enregistrements traités: %s"
"Error field mapping! Fields list for mapping is not defined","Erreur de mappage des champs ! La liste des champs pour le mappage n'est pas définie"
"Error occured during file opening: ""%s""","Erreur lors de l'ouverture du fichier : ""%s"""
"Sheet 1","Feuille 1"
"File ""%s"" don't exist","Fichier ""%s"" inexistant"
"hour","heure"
"hours","heures"
"Could not load file: ""%s""","Impossible de charger le fichier : ""%s"""
"Could not save file: %s","Impossible de sauvegarder le fichier : %s"
"Declared adapter %s not found","Impossible de trouver l'adapteur déclaré : %s"
"Destination folder ""%s"" is not a writeable","Le répertoire de destination ""%s"" n'a pas le droit d'écriture"
"Destination folder ""%s"" is not a directory","Le répertoire de destination ""%s"" n'est pas un répertoire"
"Destination folder ""%s"" does not exist or not access to create","Le répertoire de destination ""%s"" n'existe pas ou ne peut pas être créé"
"Skip undefined row","Ligne non définie ignorée"
"Memory Used: %s","Mémoire utilisée : %s"
"Method ""%s"" not defined in adapter %s","Méthode ""%s"" non définie dans l'adapteur %s"
"minute","minute"
"minutes","minutes"
"Less than a minute","Moins d'une minute"
"Saved successfully: ""%s"" [%d byte(s)]","Sauvegardé : ""%s"" [%d octet(s)]"
"Done","Terminé"
"Dry run set, stopping execution","Test paramétré, exécution en cours d'arrêt"
"Total records: %s","Total d'enregistrements : %s"
"Please declare ""adapter"" and ""method"" node first","Veuillez d'abord déclarer l'adapteur et la méthode"
