"No match found","Aucune correspondance trouvée"
"Configuration disabled","Configuration désactivée"
"The cart doesn't match conditions","Le panier ne correspond pas aux conditions"
"The shipping method doesn't cover the zone","Le mode de livraison ne couvre pas la zone"
"The shipping method doesn't match to shipping origin","Le mode de livraison ne correspond pas à l'origine de livraison"
"The shipping method doesn't match to customer group (%s)","Le mode de livraison ne correspond pas au groupe client (%s)"
"Infinite loop %s","Boucle infinie %s"
"Non-existent property %s","Propriété inexistante %s"
"Error in table %s","Erreur dans la table %s"
"Invalid formula","Formule invalide"
"Unrecognized value of deprecated property %s %s","Valeur non reconnue de la propriété obsolète %s %s"
"Usage of deprecated syntax %s","Utilisation d'une syntaxe obsolète %s"
"Usage of unknown properties %s","Utilisation de propriétés non reconnues %s"
"Usage of deprecated properties %s","Utilisation de propriétés obsolètes %s"
"Usage of obsolete method to disabling a shipping method (`#` before `{`)%s","Utilisation d'une méthode obsolète pour désactiver une méthode de livraison (`#` avant `{`)%s"
"A semicolon is missing at the end of following lines %s","Il manque une virgule à la fin des lignes suivantes %s"
"Ignored lines %s","Lignes ignorées %s"
"The property `code` must be unique, `%s` has been found twice","La propriété `code` doit être unique, la valeur `%s` a été trouvée plusieurs fois"
"There are unwanted spaces after char `%s`","Il y a des espaces indésirables après le caractère `%s`"
"There are unwanted spaces before char `%s`","Il y a des espaces indésirables avant le caractère `%s`"
"There are unwanted multiples spaces `%s`","Il y a des espaces indésirables multiples `%s`"
"track the package","suivre le colis"
"Configuration","Configuration"
"{debug_help}","Affichage du debug sur le panier lors d'une estimation de livraison"
"Tracking URL","URL de suivi"
"Debug","Debug"
"Stop to first match","Arrêt à la première correspondance trouvée"
"Weight unit","Unité de poids"
"Help to configure","Aide à la configuration"
"Display when unavailable","Afficher si indisponible"
"Shipping period","Délai de Livraison"
"Set here the serial number, for multi-stores set the serial number in the default configuration, and active Colissimo in each store configuration scope","Saisir ici le numéro de licence, pour les multi-sites saisir le numéro de licence sur la portée de configuration par défaut, et activer Colissimo sur la portée de configuration de chaque site"
"Access Colissimo Box","Accéder à Colissimo Box"
"Unknown relay point","Aucun point relais n'a été séléctionné. Veuillez rééssayer."

"Fixed Costs","Frais fixes"
"{fixed_costs_help}","Montant forfaitaire HT qui sera ajouté aux frais de transports (ex. : pour traitement, emballage etc...). Invisible pour le client."

"API key Google Maps","Clé API Google Maps"
"{google_maps_help}","Les appels à l'API Google Maps implémentés après le 22/06/2016 requièrent une clé d'API. Merci de la renseigner ici."
